STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Idaho,http://www.healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,"Influenza",Regional,Apr-30-2016,17,2015-16
Idaho,http://www.healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,"Influenza",Local Activity,May-07-2016,18,2015-16
Idaho,http://www.healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,"Influenza",Sporadic,May-14-2016,19,2015-16
Idaho,http://www.healthandwelfare.idaho.gov/Health/DiseasesConditions/SeasonalInfluenzaFlu/tabid/327/Default.aspx,"Influenza",Sporadic,May-21-2016,20,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",No Activity,Oct-10-2015,40,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",No Activity,Oct-17-2015,41,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",No Activity,Oct-24-2015,42,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",No Activity,Oct-31-2015,43,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Nov-07-2015,44,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Nov-14-2015,45,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Nov-21-2015,46,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Nov-28-2015,47,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Dec-05-2015,48,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Dec-12-2015,49,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",No Activity,Dec-19-2015,50,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Dec-26-2015,51,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Jan-02-2016,52,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Jan-09-2016,1,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Jan-16-2016,2,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Jan-23-2016,3,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Jan-30-2016,4,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Feb-06-2016,5,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Regional,Feb-13-2016,6,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Feb-20-2016,7,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Regional,Feb-27-2016,8,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Regional,Mar-05-2016,9,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Regional,Mar-12-2016,10,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Regional,Mar-19-2016,11,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Regional,Mar-26-2016,12,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Apr-02-2016,13,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Apr-09-2016,14,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Apr-16-2016,15,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Apr-23-2016,16,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,Apr-30-2016,17,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,May-07-2016,18,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,May-14-2016,19,2015-16
Illinois,http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance,"Seasonal Influenza Surveillance Reports",Sporadic,May-21-2016,20,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",No Activity,Oct-10-2015,40,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",No Activity,Oct-17-2015,41,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Oct-24-2015,42,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Oct-31-2015,43,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",No Activity,Nov-07-2015,44,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Nov-14-2015,45,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Nov-21-2015,46,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Nov-28-2015,47,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Dec-05-2015,48,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Dec-12-2015,49,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Local Activity,Dec-19-2015,50,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Local Activity,Dec-26-2015,51,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Jan-02-2016,52,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Local Activity,Jan-09-2016,1,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Local Activity,Jan-16-2016,2,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Local Activity,Jan-23-2016,3,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Regional,Jan-30-2016,4,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Regional,Feb-06-2016,5,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Regional,Feb-13-2016,6,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Regional,Feb-20-2016,7,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Regional,Feb-27-2016,8,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Widespread,Mar-05-2016,9,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Widespread,Mar-12-2016,10,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Widespread,Mar-19-2016,11,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Regional,Mar-26-2016,12,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Local Activity,Apr-02-2016,13,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Apr-09-2016,14,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Apr-16-2016,15,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Apr-23-2016,16,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Apr-30-2016,17,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,May-07-2016,18,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,May-14-2016,19,2015-16
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",No Activity,May-21-2016,20,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",No Activity,Oct-10-2015,40,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Sporadic,Oct-17-2015,41,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Oct-24-2015,42,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Oct-31-2015,43,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Nov-07-2015,44,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Nov-14-2015,45,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Nov-21-2015,46,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Nov-28-2015,47,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Dec-05-2015,48,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Dec-12-2015,49,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Dec-19-2015,50,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Dec-26-2015,51,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Regional,Jan-02-2016,52,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Regional,Jan-09-2016,1,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Regional,Jan-16-2016,2,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Regional,Jan-23-2016,3,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Widespread,Jan-30-2016,4,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Widespread,Feb-06-2016,5,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Widespread,Feb-13-2016,6,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Widespread,Feb-20-2016,7,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Widespread,Feb-27-2016,8,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Widespread,Mar-05-2016,9,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Widespread,Mar-12-2016,10,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Widespread,Mar-19-2016,11,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Widespread,Mar-26-2016,12,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Widespread,Apr-02-2016,13,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Widespread,Apr-09-2016,14,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Regional,Apr-16-2016,15,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Regional,Apr-23-2016,16,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Regional,Apr-30-2016,17,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,May-07-2016,18,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,May-14-2016,19,2015-16
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Sporadic,May-21-2016,20,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",No Activity,Oct-10-2015,40,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",No Activity,Oct-17-2015,41,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",No Activity,Oct-24-2015,42,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",No Activity,Oct-31-2015,43,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",No Activity,Nov-07-2015,44,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",No Activity,Nov-14-2015,45,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",No Activity,Nov-21-2015,46,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Nov-28-2015,47,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Dec-05-2015,48,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Dec-12-2015,49,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Dec-19-2015,50,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Dec-26-2015,51,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Jan-02-2016,52,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Jan-09-2016,1,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Jan-16-2016,2,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Jan-23-2016,3,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Jan-30-2016,4,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Local Activity,Feb-06-2016,5,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Local Activity,Feb-13-2016,6,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Regional,Feb-20-2016,7,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Widespread,Feb-27-2016,8,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Widespread,Mar-05-2016,9,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Widespread,Mar-12-2016,10,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Widespread,Mar-19-2016,11,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Regional,Mar-26-2016,12,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Regional,Apr-02-2016,13,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Regional,Apr-09-2016,14,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Regional,Apr-16-2016,15,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Local Activity,Apr-23-2016,16,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Apr-30-2016,17,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,May-07-2016,18,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,May-14-2016,19,2015-16
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,May-21-2016,20,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Sporadic,Oct-10-2015,40,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Sporadic,Oct-17-2015,41,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Sporadic,Oct-24-2015,42,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Sporadic,Oct-31-2015,43,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Sporadic,Nov-07-2015,44,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Sporadic,Nov-14-2015,45,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Local Activity,Nov-21-2015,46,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Sporadic,Nov-28-2015,47,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Local Activity,Dec-05-2015,48,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Local Activity,Dec-12-2015,49,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Regional,Dec-19-2015,50,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Local Activity,Dec-26-2015,51,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Local Activity,Jan-02-2016,52,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Local Activity,Jan-09-2016,1,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Sporadic,Jan-16-2016,2,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Sporadic,Jan-23-2016,3,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Regional,Jan-30-2016,4,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Feb-06-2016,5,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Feb-13-2016,6,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Feb-20-2016,7,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Feb-27-2016,8,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Mar-05-2016,9,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Mar-12-2016,10,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Mar-19-2016,11,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Mar-26-2016,12,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Apr-02-2016,13,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Apr-09-2016,14,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Apr-16-2016,15,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Widespread,Apr-23-2016,16,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Regional,Apr-30-2016,17,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Regional,May-07-2016,18,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Regional,May-14-2016,19,2015-16
Kentucky,http://chfs.ky.gov/dph/epi/Influenza.htm,"Influenza - Flu",Regional,May-21-2016,20,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Oct-10-2015,40,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Oct-17-2015,41,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Oct-24-2015,42,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Oct-31-2015,43,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Nov-07-2015,44,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Nov-14-2015,45,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Nov-21-2015,46,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Nov-28-2015,47,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Dec-05-2015,48,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Dec-12-2015,49,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Dec-19-2015,50,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Dec-26-2015,51,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Jan-02-2016,52,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Jan-09-2016,1,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Jan-16-2016,2,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Jan-23-2016,3,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Jan-30-2016,4,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Feb-06-2016,5,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Feb-13-2016,6,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Local Activity,Feb-20-2016,7,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Regional,Feb-27-2016,8,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Regional,Mar-05-2016,9,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Regional,Mar-12-2016,10,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Regional,Mar-19-2016,11,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Regional,Mar-26-2016,12,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Regional,Apr-02-2016,13,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Local Activity,Apr-09-2016,14,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Local Activity,Apr-16-2016,15,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Apr-23-2016,16,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,Apr-30-2016,17,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,May-07-2016,18,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,May-14-2016,19,2015-16
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Sporadic,May-21-2016,20,2015-16
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Oct-10-2015,40,2015-16
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Oct-17-2015,41,2015-16
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Oct-24-2015,42,2015-16
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Oct-31-2015,43,2015-16
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Nov-07-2015,44,2015-16
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Nov-14-2015,45,2015-16
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Nov-21-2015,46,2015-16
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Nov-28-2015,47,2015-16
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Dec-05-2015,48,2015-16
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Dec-12-2015,49,2015-16
